id,description,created_at,language,is_owner,is_public,access,mode,gender,country,is_pro,locales_accents,name,age_hint
db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,Approachable American female ideal for customer care and support.,2026-03-31T17:37:05.961Z,en,false,true,type: public; visibility: all,similarity,feminine,US,false,"en-US*, hi-IN, es-MX, de-DE, he-IL, it-IT, pt-BR, ta-IN",Skylar - Friendly Guide,
630ed21c-2c5c-41cf-9d82-10a7fd668370,"Inviting, cheerful young adult male for casual conversation.",2026-05-08T20:30:57.971Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,en-US*,Corey - Supportive Buddy,Young Adult
62ae83ad-4f6a-430b-af41-a9bede9286ca,"Confident, emotive British female for professional assistance",2026-02-13T20:16:28.980Z,en,false,true,type: public; visibility: all,similarity,feminine,GB,false,"en-GB*, hi-IN, es-MX, de-DE, it-IT, pt-BR",Gemma - Decisive Agent,
ef191366-f52f-447a-a398-ed8c0f2943a1,"Warm, conversational British male for casual and engaging dialogue.",2026-05-11T10:17:04.846Z,en,false,true,type: public; visibility: all,similarity,masculine,GB,false,"en-GB*, hi-IN, es-ES, de-DE, fr-CA, he-IL, it-IT, ja-JP, pt-BR, ta-IN, te-IN, th-TH, zh-CN",Archie - Approachable Mate,
47c38ca4-5f35-497b-b1a3-415245fb35e1,"Clear, crisp male voice for digital assistants and system interactions",2025-12-16T22:06:00.423Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,"en-US*, hi-IN, es-MX, ar-SA, de-DE, fr-CA, he-IL, it-IT, ja-JP, pt-BR, ta-IN, te-IN, th-TH, zh-CN",Daniel - Modern Assistant,
f786b574-daa5-4673-aa0c-cbe3e8534c02,Enunciating young adult female for conversational support use cases,2025-05-02T19:32:06.092Z,en,false,true,type: public; visibility: all,similarity,feminine,US,false,"en-US*, hi-IN, es-MX, de-DE, fr-CA, he-IL, it-IT, pt-BR, ta-IN, te-IN, zh-CN",Katie - Friendly Fixer,Young Adult
9626c31c-bec5-4cca-baa8-f8ba9e84c8bc,"Confident, young adult female for empathic customer support",1920-03-06T05:09:25.608Z,en,false,true,type: public; visibility: all,similarity,feminine,US,false,"en-US*, hi-IN, es-MX, de-DE, fr-CA, he-IL, it-IT, pt-BR, ta-IN, te-IN, th-TH, zh-CN",Jacqueline - Reassuring Agent,Young Adult
5ee9feff-1265-424a-9d7f-8e4d431a12c7,"Intense, deep young adult male for casual conversations",2025-03-31T18:28:21.946Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,"en-US*, hi-IN, es-MX, de-DE, fr-CA, it-IT, ja-JP, pt-BR, zh-CN",Ronald - Thinker,Young Adult
b24f41fd-00a3-4cd8-992a-a0c9f13f3ef1,"Offers a composed and articulate voice, perfect for delivering educational content or detailed advice.",2026-06-22T01:58:13.260Z,en,false,true,type: public; visibility: all,similarity,masculine,GB,false,en-GB*,Clive - Measured Expert,
2a12b36c-7f9b-4c3a-9f7a-72731b15323a,"Approachable presence for bright, lightweight and everyday customer conversations.",2026-05-15T00:32:18.934Z,en,false,true,type: public; visibility: all,similarity,feminine,AU,false,en-AU*,Ella - Caring Scout,
12e85709-099c-480a-ba3e-875c41a9611a,"Arlo's friendly, mid-toned Australian voice is excellent for customer support, offering clear and helpful assistance with ease.",2026-06-29T12:34:03.473Z,en,false,true,type: public; visibility: all,similarity,masculine,AU,false,en-AU*,Arlo - Service Specialist,
f9836c6e-a0bd-460e-9d3c-f7299fa60f94,"Friendly, inviting, slow young adult female for conversation support",2025-06-20T17:26:33.031Z,en,false,true,type: public; visibility: all,similarity,feminine,US,false,en-US*,Caroline - Southern Guide,Young Adult
a167e0f3-df7e-4d52-a9c3-f949145efdab,Energetic adult male for engaging customer support,1970-04-25T00:00:00.000Z,en,false,true,type: public; visibility: all,similarity,masculine,US,false,"en-US*, hi-IN, es-MX, de-DE, fr-CA, it-IT, ja-JP, pt-BR, te-IN, zh-CN",Blake - Helpful Agent,
